# خريطة استبدال رموز الواجهة بنظام الأيقونات — فئةُ الواجهة فقط (خارج wa-wrap)
# العمود ١: الرمز (يُطابَق مع مُحدِّد التنويع FE0F إن وُجد) · العمود ٢: اسمُ الأيقونة (data-i) أو — للحذف
# رسائلُ ولي الأمر (wa-wrap) لا تُمَسّ (س-٢).
🖨	طباعة / PDF
🏠	ركن المسكن
🎨	ركن فنوني الجميلة
🧩	أركان
🔤	لساني عربي
🔢	مهاراتي
💜	أحبك ربي
🔔	إنصات
🪑	جلوس مؤدَّب
🧹	نظافة
🔒	حفظ اللسان واليد
💬	رفع اليد
🛡	استعاذة وبسملة
📖	ترتيل
🔊	صوت التلاوة
🧵	دليل لوحات الجوخ
📚	دليل لوحات الجوخ
🚪	واجهة تفاعليّة
🏘	أنماط المساكن
🔑	مفتاح الإجابة
🕸	تكامل
🧍	أفراد العائلة
🎧	—
🌷	—
